message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,This message from HDFC Bank contains important account information but is safe to review later since it doesn't require immediate action.,0.85,message_0243;message_0102;message_0101
msg_091,mute,scam,Muted because the message shows sensitive_code_request.,0.85,message_0238;message_0381
msg_090,digest,unknown,The message is not urgent and requires no immediate action; it's safe to process later.,0.85,none
msg_048,mute,scam,"Muted because the message shows account_blocking_pressure, urgent_payment_pressure.",0.9,message_0151;message_0152;message_0237
msg_040,mute,spam,"This message is a chain message asking to forward for blessings and resembles previous dismissed content, making it low-value and unwanted.",0.85,message_0136;message_0135
msg_075,digest,business_update,"The ride update provides important information, but it's not urgent enough to interrupt immediately; the user has previously opened similar messages.",0.85,message_0206;message_0205
msg_005,notify,urgent,"The message is time-sensitive, asking for pickup by 6 PM today, and you need to respond based on your past interactions with this sender regarding similar requests.",0.85,message_0065;message_0332;message_0066
msg_104,mute,unknown,"The message is about collecting a jacket, but the user has ignored or dismissed similar messages before. It's likely not urgent or important enough to interrupt.",0.85,message_0383;message_0232
msg_069,mute,unknown,"The message is a generic morning greeting with a request to share positivity, similar to past messages that have been dismissed or muted. There's no urgency or importance for immediate attention.",0.85,message_0193;message_0194;message_0042;message_0177;message_0178
msg_107,mute,scam,Muted because the message shows sensitive_code_request.,0.85,message_0056;message_0369;message_0235
msg_070,mute,scam,"Muted because the message shows sensitive_code_request, account_blocking_pressure.",0.95,message_0213;message_0195;message_0053;message_0214
msg_003,digest,business_update,"This message provides a delivery update for an order, which is useful but not urgent enough to interrupt the user immediately.",0.85,message_0031;message_0400
msg_099,digest,business_update,"The message mentions reading notes for a review and is not urgent, allowing for later viewing.",0.8,message_0227;message_0055;message_0228
msg_008,digest,business_update,"This is a follow-up message from a business you interacted with, asking for feedback on a recent product. It's useful but not urgent enough to interrupt you immediately.",0.85,message_0296;message_0072;message_0071
msg_092,digest,business_update,The message contains important information about the user's monthly card statement but does not require immediate attention. The user can review it when convenient.,0.85,none
msg_060,notify,urgent,"This message is a critical reminder for internship approval that requires timely action before the 5 PM deadline. The user has engaged with similar messages in the past, making it important to notify them now.",0.9,message_0284;message_0176;message_0404
